Age,Gender,Qualification ,Occupation,Most_Spend ,Financial_Concerns
21,Female,Graduate,Non-Working,Gas & fuel,Debts/Loans
22,Male,Postgraduate,Non-Working,Shopping,Insurances
21,Male,Graduate,Non-Working,Clothing,School/College Tuition
13,Female,School,Non-Working,Fast Food,I don't have financial worries
21,Male,Graduate,Non-Working,Fast Food,I don't have financial worries
21,Female,Graduate,Non-Working,Fast Food,School/College Tuition
17,Female,10th,Non-Working,Fast Food,I don't have financial worries
15,Female,School,Non-Working,Clothing,I don't have financial worries
16,Female,10th,Non-Working,Fast Food,I don't have financial worries
44,Male,Postgraduate,Non-Working,Groceries,Debts/Loans
17,Female,10th,Non-Working,Fast Food,School/College Tuition
17,Female,12th,Non-Working,Fast Food,I don't have financial worries
17,Female,10th,Non-Working,Shopping,School/College Tuition
45,Female,Postgraduate,Working,Insurances,Debts/Loans
53,Female,Postgraduate,Working,Mortgage & Rent,Housing/Rent
35,Female,Postgraduate,Working,Shopping,Housing/Rent
21,Male,Graduate,Non-Working,Fast Food,School/College Tuition
13,Female,School,Non-Working,Coffee Shops,I don't have financial worries
40,Female,Postgraduate,Working,Groceries,Debts/Loans
53,Male,Graduate,Working,Mortgage & Rent,Housing/Rent
34,Female,Postgraduate,Working,Insurances,Debts/Loans
21,Male,12th,Non-Working,Clothing,I don't have financial worries
14,Female,School,Non-Working,Shopping,School/College Tuition
21,Male,12th,Non-Working,Fast Food,School/College Tuition
23,Female,Postgraduate,Non-Working,Clothing,School/College Tuition
19,Male,Diploma,Non-Working,Shopping,Insurances
21,Female,Graduate,Working,Clothing,I don't have financial worries
30,Female,Graduate,Non-Working,Mortgage & Rent,Housing/Rent
46,Female,Graduate,Working,Shopping,Insurances
14,Female,School,Non-Working,Entertainment,I don't have financial worries
70,Male,Postgraduate,Non-Working,Groceries,I don't have financial worries
66,Female,Graduate,Non-Working,Groceries,Insurances
26,Female,Graduate,Working,Entertainment,I don't have financial worries
17,Male,10th,Non-Working,Fast Food,School/College Tuition
20,Male,Graduate,Non-Working,Fast Food,I don't have financial worries
21,Female,Graduate,Non-Working,Fast Food,I don't have financial worries
15,Female,10th,Non-Working,Fast Food,I don't have financial worries
21,Female,12th,Non-Working,Shopping,School/College Tuition
14,Female,School,Non-Working,Groceries,I don't have financial worries
20,Male,12th,Working,Gas & fuel,Debts/Loans
21,Female,Graduate,Non-Working,Shopping,School/College Tuition
21,Male,Graduate,Non-Working,Shopping,Debts/Loans
26,Female,Graduate,Non-Working,Shopping,I don't have financial worries
14,Female,10th,Non-Working,Fast Food,I don't have financial worries
48,Female,Postgraduate,Non-Working,Groceries,Housing/Rent
19,Female,12th,Non-Working,Gas & fuel,School/College Tuition
21,Female,Graduate,Working,Gas & fuel,I don't have financial worries
45,Female,Postgraduate,Working,Groceries,School/College Tuition
21,Male,Graduate,Non-Working,Mortgage & Rent,School/College Tuition
14,Female,School,Non-Working,Clothing,School/College Tuition
53,Male,Doctorate/PhD,Working,Gas & fuel,Debts/Loans
21,Male,Graduate,Non-Working,Fast Food,I don't have financial worries
21,Male,Graduate,Non-Working,Fast Food,I don't have financial worries
20,Male,Diploma,Non-Working,Entertainment,I don't have financial worries
23,Male,Postgraduate,Working,Entertainment,I don't have financial worries
21,Female,12th,Non-Working,Fast Food,School/College Tuition
47,Male,Graduate,Working,Entertainment,Insurances
21,Male,Graduate,Non-Working,Mortgage & Rent,Housing/Rent
21,Male,12th,Working,Groceries,I don't have financial worries
25,Male,Graduate,Working,Mortgage & Rent,I don't have financial worries
21,Female,Graduate,Non-Working,Shopping,School/College Tuition
16,Male,10th,Non-Working,Gas & fuel,I don't have financial worries
23,Male,Graduate,Working,Groceries,Debts/Loans
16,Female,10th,Non-Working,Shopping,I don't have financial worries
17,Female,10th,Non-Working,Groceries,School/College Tuition
17,Female,12th,Non-Working,Shopping,School/College Tuition
21,Female,Graduate,Non-Working,Shopping,I don't have financial worries
17,Female,12th,Non-Working,Coffee Shops,School/College Tuition
18,Male,12th,Non-Working,Entertainment,I don't have financial worries
21,Female,Graduate,Non-Working,Clothing,I don't have financial worries
43,Female,Diploma,Non-Working,Entertainment,School/College Tuition
49,Female,Graduate,Non-Working,Clothing,School/College Tuition
38,Female,Postgraduate,Working,Home Improvement,Debts/Loans
22,Male,Graduate,Non-Working,Gas & fuel,Housing/Rent
38,Female,Postgraduate,Working,Groceries,I don't have financial worries
15,Female,10th,Non-Working,Fast Food,I don't have financial worries
22,Female,Graduate,Working,Shopping,I don't have financial worries
21,Female,Graduate,Non-Working,Shopping,I don't have financial worries
30,Male,Postgraduate,Working,Shopping,I don't have financial worries
19,Male,12th,Non-Working,Entertainment,Debts/Loans
22,Male,Graduate,Working,Groceries,I don't have financial worries
34,Female,Graduate,Working,Mortgage & Rent,Debts/Loans
21,Female,Postgraduate,Working,Shopping,Insurances
22,Female,Graduate,Non-Working,Groceries,I don't have financial worries
45,Female,Graduate,Working,Home Improvement,Housing/Rent
22,Female,Graduate,Non-Working,Fast Food,School/College Tuition
48,Male,Postgraduate,Working,Mortgage & Rent,Debts/Loans
17,Female,12th,Non-Working,Fast Food,School/College Tuition
14,Male,School,Non-Working,Fast Food,I don't have financial worries
22,Female,Graduate,Non-Working,Shopping,I don't have financial worries
47,Male,Diploma,Working,Insurances,Debts/Loans
20,Female,12th,Non-Working,Fast Food,School/College Tuition
21,Male,Graduate,Non-Working,Gas & fuel,I don't have financial worries
21,Female,Graduate,Working,Shopping,Debts/Loans
15,Female,10th,Non-Working,Groceries,School/College Tuition
40,Male,Postgraduate,Working,Groceries,Housing/Rent
20,Female,12th,Non-Working,Coffee Shops,I don't have financial worries
56,Male,Postgraduate,Working,Home Improvement,Housing/Rent
21,Male,Graduate,Non-Working,Fast Food,I don't have financial worries
21,Male,Graduate,Non-Working,Mortgage & Rent,I don't have financial worries
55,Female,Postgraduate,Working,Shopping,Debts/Loans
84,Male,Postgraduate,Non-Working,Home Improvement,I don't have financial worries
76,Female,Postgraduate,Non-Working,Groceries,I don't have financial worries
76,Male,Graduate,Non-Working,Home Improvement,I don't have financial worries
70,Female,10th,Non-Working,Groceries,I don't have financial worries
40,Male,Postgraduate,Working,Groceries,Housing/Rent
40,Male,Graduate,Working,Groceries,Insurances
49,Male,Postgraduate,Working,Mortgage & Rent,School/College Tuition
40,Male,Graduate,Working,Mortgage & Rent,I don't have financial worries
41,Male,Graduate,Working,Mortgage & Rent,Debts/Loans
39,Male,Graduate,Working,Groceries,I don't have financial worries
39,Male,Postgraduate,Working,Mortgage & Rent,Debts/Loans
40,Male,Graduate,Working,Groceries,School/College Tuition
39,Male,Graduate,Working,Groceries,Housing/Rent
39,Male,Graduate,Working,Entertainment,School/College Tuition
39,Male,Graduate,Working,Mortgage & Rent,Debts/Loans
29,Male,Graduate,Working,Mortgage & Rent,Debts/Loans
40,Male,Graduate,Working,Mortgage & Rent,I don't have financial worries
20,Male,Graduate,Non-Working,Groceries,I don't have financial worries
21,Male,Graduate,Non-Working,Fast Food,I don't have financial worries
40,Male,Postgraduate,Working,Shopping,Housing/Rent
28,Female,Graduate,Working,Shopping,Insurances
39,Male,Graduate,Working,Mortgage & Rent,Debts/Loans
39,Male,Diploma,Working,Mortgage & Rent,Debts/Loans
