Gender,Most_Spend
Female,Insurances
Female,Mortgage & Rent
Female,Shopping
Female,Groceries
Male,Mortgage & Rent
Female,Insurances
Female,Clothing
Female,Shopping
Female,Entertainment
Male,Gas & fuel
Female,Gas & fuel
Female,Groceries
Male,Gas & fuel
Male,Entertainment
Male,Entertainment
Male,Groceries
Male,Mortgage & Rent
Male,Groceries
Female,Home Improvement
Female,Groceries
Female,Shopping
Male,Shopping
Male,Groceries
Female,Mortgage & Rent
Female,Shopping
Female,Home Improvement
Male,Mortgage & Rent
Male,Insurances
Female,Shopping
Male,Groceries
Male,Home Improvement
Female,Shopping
Male,Groceries
Male,Groceries
Male,Mortgage & Rent
Male,Mortgage & Rent
Male,Mortgage & Rent
Male,Groceries
Male,Mortgage & Rent
Male,Groceries
Male,Groceries
Male,Entertainment
Male,Mortgage & Rent
Male,Mortgage & Rent
Male,Mortgage & Rent
Male,Shopping
Female,Shopping
Male,Mortgage & Rent
Male,Mortgage & Rent
Female,Gas & fuel
Male,Shopping
Male,Clothing
Female,Fast Food
Male,Fast Food
Female,Fast Food
Female,Fast Food
Female,Clothing
Female,Fast Food
Male,Groceries
Female,Fast Food
Female,Fast Food
Female,Shopping
Male,Fast Food
Female,Coffee Shops
Male,Clothing
Female,Shopping
Male,Fast Food
Female,Clothing
Male,Shopping
Female,Mortgage & Rent
Female,Entertainment
Male,Groceries
Female,Groceries
Male,Fast Food
Male,Fast Food
Female,Fast Food
Female,Fast Food
Female,Shopping
Female,Groceries
Female,Shopping
Male,Shopping
Female,Shopping
Female,Fast Food
Female,Groceries
Female,Gas & fuel
Male,Mortgage & Rent
Female,Clothing
Male,Fast Food
Male,Fast Food
Male,Entertainment
Female,Fast Food
Male,Mortgage & Rent
Female,Shopping
Male,Gas & fuel
Female,Shopping
Female,Groceries
Female,Shopping
Female,Shopping
Female,Coffee Shops
Male,Entertainment
Female,Clothing
Female,Entertainment
Female,Clothing
Male,Gas & fuel
Female,Fast Food
Female,Shopping
Male,Entertainment
Female,Groceries
Female,Fast Food
Female,Fast Food
Male,Fast Food
Female,Shopping
Female,Fast Food
Male,Gas & fuel
Female,Groceries
Female,Coffee Shops
Male,Fast Food
Male,Mortgage & Rent
Male,Home Improvement
Female,Groceries
Male,Home Improvement
Female,Groceries
Male,Groceries
Male,Fast Food
